description,link,price,location,bedrooms,bathrooms,area
170 m apartment for sale in midtown condo -new capital city,https://www.dubizzle.com.eg/en/ad/170-m-apartment-for-sale-in-midtown-condo-new-capital-city-ID205248658.html,"EGP 3,250,000","Midtown Condo, New Capital City•",3,3,170 SQM
"Apartment for sale in Abbas Al-Akkad, 250 m",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-abbas-al-akkad-250-m-ID502645323.html,"EGP 5,200,000","Nasr City, Cairo•",3,2,250 SQM
"Apartment for resale from the owner, fully finished, in the compound behind the American University, inside Azad Compound",https://www.dubizzle.com.eg/en/ad/apartment-for-resale-from-the-owner-fully-finished-in-the-compound-behind-the-american-university-inside-azad-compound-ID502615883.html,"EGP 20,000,000","AZAD Compound, 5th Settlement•",3,3,210 SQM
Duplex for sale in Al Banafsag,https://www.dubizzle.com.eg/en/ad/duplex-for-sale-in-al-banafsag-ID501927730.html,"EGP 7,800,000","El Banafseg 12, 1st Settlement•",3,3,340 SQM
"Fully finished apartment, ready for immediate occupancy, 160 sqm, for sale in the Fifth Settlement, Patio 7 Compound, next to the American University",https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-ready-for-immediate-occupancy-160-sqm-for-sale-in-the-fifth-settlement-patio-7-compound-next-to-the-american-university-ID502640085.html,"EGP 14,000,000","EL Patio 7, 5th Settlement•",3,3,160 SQM
للتميز للبيع شقه في الرحاب 125م بحديقه 50م بالمرحله الخامسه الجديده,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%AA%D9%85%D9%8A%D8%B2-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B4%D9%82%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%B1%D8%AD%D8%A7%D8%A8-125%D9%85-%D8%A8%D8%AD%D8%AF%D9%8A%D9%82%D9%87-50%D9%85-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D9%87-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3%D9%87-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-ID206026535.html,"EGP 7,500,000","Rehab City Compound, New Cairo•",3,2,125 SQM
"Apartment for sale in Al Rehab, an excellent opportunity, a 176 sqm apartment in the third phase with a beautiful view on a great garden facing south on the third floor. The apartment consists of (3 rooms",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-al-rehab-an-excellent-opportunity-a-176-sqm-apartment-in-the-third-phase-with-a-beautiful-view-on-a-great-garden-facing-south-on-the-third-floor-the-apartment-consists-of-3-rooms-ID501183455.html,"EGP 7,800,000","Rehab City Compound, New Cairo•",3,3,176 SQM
"Apartment for sale in Hyde Park Central, Sixth Settlement, New Cairo, with installments over the longest repayment period.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-hyde-park-central-sixth-settlement-new-cairo-with-installments-over-the-longest-repayment-period-ID502630503.html,"EGP 10,000,000","Hyde Park Central, New Cairo•",2,2,114 SQM
"Apartment for Sale – 150sqm+60 Garden – B10, Madinaty",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-150sqm60-garden-b10-madinaty-ID502619045.html,"EGP 9,000,000","Madinaty, Cairo•",3,3,210 SQM
"Super deluxe apartment for sale in Nasr City, Mostafa El Nahhas - prime location",https://www.dubizzle.com.eg/en/ad/super-deluxe-apartment-for-sale-in-nasr-city-mostafa-el-nahhas-prime-location-ID502639658.html,"EGP 3,900,000","Nasr City, Cairo•",3,2,150 SQM
Apartment  Panorama view altra super lux for sale in prime location in Nasr city,https://www.dubizzle.com.eg/en/ad/apartment-panorama-view-altra-super-lux-for-sale-in-prime-location-in-nasr-city-ID502603964.html,"EGP 13,000,000","Nasr City, Cairo•",4,4,500 SQM
Lowest price in market apartment ready to move for sale in Palm hills new Cairo very prime location,https://www.dubizzle.com.eg/en/ad/lowest-price-in-market-apartment-ready-to-move-for-sale-in-palm-hills-new-cairo-very-prime-location-ID502607071.html,"EGP 8,000,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,188 SQM
Apartment open view  Altra super lux for sale in prime location Fifth Settlement,https://www.dubizzle.com.eg/en/ad/apartment-open-view-altra-super-lux-for-sale-in-prime-location-fifth-settlement-ID502618711.html,"EGP 9,000,000","5th Settlement, New Cairo•",4,2,235 SQM
Fully finished Apartment – 3 Bedrooms- 4 bathrooms with open View in privado,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-3-bedrooms-4-bathrooms-with-open-view-in-privado-ID502255296.html,"EGP 12,276,472","Privado, Madinaty•",3,4,155 SQM
Penthouse + roof in the most distinguished locations in New Cairo - area 345 m + roof 177 m - private pool - landscape view -best price,https://www.dubizzle.com.eg/en/ad/penthouse-roof-in-the-most-distinguished-locations-in-new-cairo-area-345-m-roof-177-m-private-pool-landscape-view-best-price-ID502635332.html,"EGP 28,200,000","Lake view Residence Compound, 5th Settlement•",4,4,345 SQM
"Apartment for sale in the distinguished area 5, Badr City",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-the-distinguished-area-5-badr-city-ID502602710.html,"EGP 1,150,000","Badr City, Cairo•",3,1,135 SQM
Fully Finished Penthouse for Sale Trio Gardens,https://www.dubizzle.com.eg/en/ad/fully-finished-penthouse-for-sale-trio-gardens-ID502269301.html,"EGP 8,700,000","Trio Gardens Compound, 5th Settlement•",2,2,160 SQM
Delivered a apartment a prime location in sarai,https://www.dubizzle.com.eg/en/ad/delivered-a-apartment-a-prime-location-in-sarai-ID502632294.html,"EGP 4,500,000","Sarai, Mostakbal City•",3,3,148 SQM
Fully finished apartment in granda life for sale,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-in-granda-life-for-sale-ID502509523.html,"EGP 6,700,000","Granda Life, Shorouk City•",3,2,143 SQM
"Apartment 95 m for sale in Madinaty B8, old reservation, Group 87, fourth floor",https://www.dubizzle.com.eg/en/ad/apartment-95-m-for-sale-in-madinaty-b8-old-reservation-group-87-fourth-floor-ID502610792.html,"EGP 5,500,000","Madinaty, Cairo•",2,2,95 SQM
Apartment Ground floor Exceptional finishing and furniture - in District 5 compound - new cairo,https://www.dubizzle.com.eg/en/ad/apartment-ground-floor-exceptional-finishing-and-furniture-in-district-5-compound-new-cairo-ID502596935.html,"EGP 18,000,000","District 5 Compound, 5th Settlement•",3,3,200 SQM
"Ready to move in a prime location Apartment for sale in Eastown by Sodic, New Cairo.",https://www.dubizzle.com.eg/en/ad/ready-to-move-in-a-prime-location-apartment-for-sale-in-eastown-by-sodic-new-cairo-ID502539966.html,"EGP 13,000,000","Eastown Compound, 5th Settlement•",3,3,185 SQM
"Apartment for sale, fully finished, with air conditioning, kitchen and heaters, next to the American University",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-with-air-conditioning-kitchen-and-heaters-next-to-the-american-university-ID502639645.html,"EGP 6,950,000","‎Pearl des Rois, 5th Settlement•",2,2,144 SQM
Fully Finished Apartment 2 Bed Ready to move In Stoda Compound Sheraton Beside Airport and Wadi Degla Club,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-2-bed-ready-to-move-in-stoda-compound-sheraton-beside-airport-and-wadi-degla-club-ID502325392.html,"EGP 6,930,000","Stoda Residence, Sheraton•",2,2,138 SQM
Delivered Apartment 2 Bedroom’s (master room) 2 Bathroom’s in UP TOWN CAIRO mokattam,https://www.dubizzle.com.eg/en/ad/delivered-apartment-2-bedrooms-master-room-2-bathrooms-in-up-town-cairo-mokattam-ID502591127.html,"EGP 16,000,000","Uptown Cairo, Mokattam•",2,2,181 SQM
Apartment for sale with high-end finishing in a prime location in front of Al Kababji Palace in the Fifth Settlement,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-high-end-finishing-in-a-prime-location-in-front-of-al-kababji-palace-in-the-fifth-settlement-ID502630979.html,"EGP 12,000,000","5th Settlement, New Cairo•",3,3,230 SQM
Your golden investment opportunity in Madinaty! A 116 sqm apartment from the most in-demand model – below market price and already rented for immediat,https://www.dubizzle.com.eg/en/ad/your-golden-investment-opportunity-in-madinaty-a-116-sqm-apartment-from-the-most-in-demand-model-below-market-price-and-already-rented-for-immediat-ID502381489.html,"EGP 5,500,000","Madinaty, Cairo•",3,2,116 SQM
apartment for sale in sarai with very special price,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sarai-with-very-special-price-ID502561060.html,"EGP 7,340,000","Sarai, Mostakbal City•",2,2,131 SQM
Ready To Move Apartment open View Direct on Villas In PHNC,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-open-view-direct-on-villas-in-phnc-ID502334439.html,"EGP 10,500,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,213 SQM
Apartment for sale in Al-Rehab with special finishes - Area: 176 sqm,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-al-rehab-with-special-finishes-area-176-sqm-ID502596616.html,"EGP 7,900,000","Rehab City Compound, New Cairo•",4,2,176 SQM
Apartment bahary with best price and ready to move - in Mountain view I city compound,https://www.dubizzle.com.eg/en/ad/apartment-bahary-with-best-price-and-ready-to-move-in-mountain-view-i-city-compound-ID502391394.html,"EGP 6,500,000","Mountain View iCity Compound, 5th Settlement•",3,2,170 SQM
"Apartment for sale, immediate delivery, fully finished, in the General Security Compound. The price is negotiable.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-fully-finished-in-the-general-security-compound-the-price-is-negotiable-ID502630539.html,"EGP 7,400,000","5th Settlement, New Cairo•",3,3,180 SQM
 Apartment for Sale in Madinaty – B12,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-b12-ID502593439.html,"EGP 2,870,680","Madinaty, Cairo•",2,1,75 SQM
Apartment with garden for sale very prime Location semi-finished ready to move in patio oro by Lavista New cairo resale,https://www.dubizzle.com.eg/en/ad/apartment-with-garden-for-sale-very-prime-location-semi-finished-ready-to-move-in-patio-oro-by-lavista-new-cairo-resale-ID502047837.html,"EGP 12,500,000","EL Patio ORO Compound, 5th Settlement•",3,3,210 SQM
Ready to move apartment in Stone Resedince new cairo  insstallments,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-in-stone-resedince-new-cairo-insstallments-ID502500982.html,"EGP 7,800,000","Stone Residence Compound, Katameya•",3,2,155 SQM
Apartment for sale in Madinaty B6,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-b6-ID502603344.html,"EGP 6,200,000","Madinaty, Cairo•",3,2,124 SQM
Al Yasmine 3 villas very close to Ahmed Shawky Street and Sadat Axis and near Manchester School. The villa is on a garden square.,https://www.dubizzle.com.eg/en/ad/al-yasmine-3-villas-very-close-to-ahmed-shawky-street-and-sadat-axis-and-near-manchester-school-the-villa-is-on-a-garden-square-ID502642901.html,"EGP 4,000,000","El Yasmeen 3, 1st Settlement•",2,3,160 SQM
"Apartment for sale in Rehab City, 131 m, in the new seventh phase, Wide Garden View",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-rehab-city-131-m-in-the-new-seventh-phase-wide-garden-view-ID502640561.html,"EGP 7,000,000","Rehab City Compound, New Cairo•",3,2,131 SQM
Apartment for sale 119 meters sea view super lux ready for housing in Al Rehab - Phase 7,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-119-meters-sea-view-super-lux-ready-for-housing-in-al-rehab-phase-7-ID502623256.html,"EGP 5,800,000","Rehab City Compound, New Cairo•",3,2,119 SQM
بنت هاوس متشطب بالتكييفات مع روف بالمراسم فيفث سكوير,https://www.dubizzle.com.eg/en/ad/%D8%A8%D9%86%D8%AA-%D9%87%D8%A7%D9%88%D8%B3-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8-%D8%A8%D8%A7%D9%84%D8%AA%D9%83%D9%8A%D9%8A%D9%81%D8%A7%D8%AA-%D9%85%D8%B9-%D8%B1%D9%88%D9%81-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%B3%D9%85-%D9%81%D9%8A%D9%81%D8%AB-%D8%B3%D9%83%D9%88%D9%8A%D8%B1-ID205801927.html,"EGP 12,500,000","Fifth Square Compound, 5th Settlement•",2,3,155 SQM
Apartment with garden for sale in Mountain View iCity new cairo with down payment and installment prime location,https://www.dubizzle.com.eg/en/ad/apartment-with-garden-for-sale-in-mountain-view-icity-new-cairo-with-down-payment-and-installment-prime-location-ID502426307.html,"EGP 8,757,000","Mountain View iCity Compound, 5th Settlement•",2,3,135 SQM
apartment for sale in madinaty 107m with 40m garden in B10 super-lux finished,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-107m-with-40m-garden-in-b10-super-lux-finished-ID502643321.html,"EGP 6,750,000","Madinaty, Cairo•",3,2,107 SQM
Apartment for sale in Hyde Park (Resale) - Fifth Settlement - Delivery now - Fully finished,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-hyde-park-resale-fifth-settlement-delivery-now-fully-finished-ID502611682.html,"EGP 19,000,000","Hyde Park New Cairo Compound, 5th Settlement•",3,3,210 SQM
Lowest Apartment For Sale In District 5 New Cairo,https://www.dubizzle.com.eg/en/ad/lowest-apartment-for-sale-in-district-5-new-cairo-ID502602651.html,"EGP 11,500,000","District 5 Compound, 5th Settlement•",2,3,160 SQM
"113 sqm apartment on the ground floor with a 50 sqm garden for sale at a great price in Al Rehab City, Phase 4.",https://www.dubizzle.com.eg/en/ad/113-sqm-apartment-on-the-ground-floor-with-a-50-sqm-garden-for-sale-at-a-great-price-in-al-rehab-city-phase-4-ID502647617.html,"EGP 5,550,000","Rehab City Compound, New Cairo•",2,1,113 SQM
Fully Finished Apartment for Sale with Prime Location – Fifth Square,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-for-sale-with-prime-location-fifth-square-ID502644099.html,"EGP 12,588,184","Fifth Square Compound, 5th Settlement•",3,3,168 SQM
"Luxurious Duplex for Sale in L'Avenir Compound, El Mustakbal City - Exceptionally Prime Location   Details - Area:     - Duplex: 265 sqm",https://www.dubizzle.com.eg/en/ad/luxurious-duplex-for-sale-in-lavenir-compound-el-mustakbal-city-exceptionally-prime-location-details-area-duplex-265-sqm-ID502614818.html,"EGP 7,300,000","L’Avenir, Mostakbal City•",4,4,265 SQM
Apartment without  over for sale in a prime location in Sarai  Sheya phase,https://www.dubizzle.com.eg/en/ad/apartment-without-over-for-sale-in-a-prime-location-in-sarai-sheya-phase-ID502622355.html,"EGP 7,275,000","Sarai, Mostakbal City•",3,2,147 SQM
"Apartment for sale with kitchen, 116 m², B10, Talaat Mostafa, Bahri, Sareeh, at a special price",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-kitchen-116-m2-b10-talaat-mostafa-bahri-sareeh-at-a-special-price-ID502639500.html,"EGP 5,750,000","Madinaty, Cairo•",3,2,116 SQM
"Apartment Ready To Move Very Prime Location For Sale ,, in South Academy , Fifth Settlement | Near the American University AUC | New Cairo",https://www.dubizzle.com.eg/en/ad/apartment-ready-to-move-very-prime-location-for-sale-in-south-academy-fifth-settlement-near-the-american-university-auc-new-cairo-ID502569347.html,"EGP 7,100,000","South of Academy, 5th Settlement•",3,3,185 SQM
Apartment In Hyde Park Delivered Prime Location,https://www.dubizzle.com.eg/en/ad/apartment-in-hyde-park-delivered-prime-location-ID502582128.html,"EGP 7,175,000","Mountain View Hyde Park Compound, 5th Settlement•",2,3,134 SQM
"For Sale: Duplex at Half Price, Fully Finished and Ready to Move in Al Burouj Compound, Shorouk",https://www.dubizzle.com.eg/en/ad/for-sale-duplex-at-half-price-fully-finished-and-ready-to-move-in-al-burouj-compound-shorouk-ID502600020.html,"EGP 15,000,000","Al Burouj, Shorouk City•",4,4,275 SQM
One of the kind spaces with the perfect price hyde park,https://www.dubizzle.com.eg/en/ad/one-of-the-kind-spaces-with-the-perfect-price-hyde-park-ID502569603.html,"EGP 15,500,000","Hyde Park New Cairo Compound, 5th Settlement•",3,2,211 SQM
For sale 220m in Nasr City - Area Six - Golden Square n. s-000-61,https://www.dubizzle.com.eg/en/ad/for-sale-220m-in-nasr-city-area-six-golden-square-n-s-000-61-ID502613990.html,"EGP 5,300,000","Nasr City, Cairo•",3,2,220 SQM
ground apartment for sale ready to deliver with private pool prime location in lake view residence 1 new cairo,https://www.dubizzle.com.eg/en/ad/ground-apartment-for-sale-ready-to-deliver-with-private-pool-prime-location-in-lake-view-residence-1-new-cairo-ID502291843.html,"EGP 17,850,000","Lake view Residence Compound, 5th Settlement•",3,3,197 SQM
cheapest ground apartment with garden - 3 bedrooms - in Palm Hills compound - New Cairo,https://www.dubizzle.com.eg/en/ad/cheapest-ground-apartment-with-garden-3-bedrooms-in-palm-hills-compound-new-cairo-ID502560421.html,"EGP 8,650,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,176 SQM
"Best Price 155m² Apartment For Sale, Mountain View iCity | New Cairo",https://www.dubizzle.com.eg/en/ad/best-price-155m2-apartment-for-sale-mountain-view-icity-new-cairo-ID502319097.html,"EGP 6,000,430","Mountain View iCity Compound, 5th Settlement•",3,3,155 SQM
Stunning apartment in sarai compound garden view,https://www.dubizzle.com.eg/en/ad/stunning-apartment-in-sarai-compound-garden-view-ID502425472.html,"EGP 5,100,000","Sarai, Mostakbal City•",3,3,182 SQM
Apartment for sale Prime location landscape view in Granda Life,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-prime-location-landscape-view-in-granda-life-ID502124671.html,"EGP 7,600,000","Granda Life, Shorouk City•",3,3,217 SQM
"Studio for sale 70 m one bedroom remaining 300,000 prime location open view in Mountain View icity Compound Fifth Settlement New Cairo",https://www.dubizzle.com.eg/en/ad/studio-for-sale-70-m-one-bedroom-remaining-300000-prime-location-open-view-in-mountain-view-icity-compound-fifth-settlement-new-cairo-ID502477876.html,"EGP 4,650,000","Mountain View iCity Compound, 5th Settlement•",1,2,70 SQM
Duplex for Sale Trio Gardens Fully Finished Fully Furnished,https://www.dubizzle.com.eg/en/ad/duplex-for-sale-trio-gardens-fully-finished-fully-furnished-ID502498644.html,"EGP 15,000,000","Trio Gardens Compound, 5th Settlement•",3,3,238 SQM
"Apartment 250 sqm immediate delivery for sale in El Qornfol, First Settlement, directly on a main street.",https://www.dubizzle.com.eg/en/ad/apartment-250-sqm-immediate-delivery-for-sale-in-el-qornfol-first-settlement-directly-on-a-main-street-ID502557372.html,"EGP 6,500,000","El Koronfel, 1st Settlement•",4,3,250 SQM
"Apartment bahary ready to move for sale 135 m 2 bedrooms remaining 515,000 prime location open view in Mountain View icity Fifth Settlement New Cairo",https://www.dubizzle.com.eg/en/ad/apartment-bahary-ready-to-move-for-sale-135-m-2-bedrooms-remaining-515000-prime-location-open-view-in-mountain-view-icity-fifth-settlement-new-cairo-ID502478197.html,"EGP 5,665,000","Mountain View iCity Compound, 5th Settlement•",2,2,135 SQM
Ground Apartment Flexi Finishing Delivered 2 Bedrooms  2 Bathrooms in Sarai el mostakbal City,https://www.dubizzle.com.eg/en/ad/ground-apartment-flexi-finishing-delivered-2-bedrooms-2-bathrooms-in-sarai-el-mostakbal-city-ID502297961.html,"EGP 7,000,000","Sarai, Mostakbal City•",2,2,146 SQM
apartment ground with garden ready to move fully finished prime location 3 bedrooms bahry in compound sarai next to madinaty - new cairo,https://www.dubizzle.com.eg/en/ad/apartment-ground-with-garden-ready-to-move-fully-finished-prime-location-3-bedrooms-bahry-in-compound-sarai-next-to-madinaty-new-cairo-ID502466139.html,"EGP 7,000,000","Sarai, Mostakbal City•",3,2,165 SQM
3 bed Distinctive 160m sale in MV I City club park- new cairo,https://www.dubizzle.com.eg/en/ad/3-bed-distinctive-160m-sale-in-mv-i-city-club-park-new-cairo-ID502620261.html,"EGP 7,300,000","Mountain View iCity Compound, 5th Settlement•",3,3,160 SQM
"Apartment for sale, 250 square meters, with a 150 square meter garden, semi-finished, on the largest garden in the heart of the fourth district, Shoro",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-250-square-meters-with-a-150-square-meter-garden-semi-finished-on-the-largest-garden-in-the-heart-of-the-fourth-district-shoro-ID502610125.html,"EGP 4,250,000","Shorouk City, Cairo•",4,3,250 SQM
"Apartment for sale, 300 square meters, first residence, super deluxe finishes, Shorouk City, 8th District, first neighborhood",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-300-square-meters-first-residence-super-deluxe-finishes-shorouk-city-8th-district-first-neighborhood-ID502579310.html,"EGP 5,500,000","Shorouk City, Cairo•",3,3,300 SQM
Apartment for sale in Madinaty b10,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-b10-ID502539179.html,"EGP 3,300,000","Madinaty, Cairo•",2,1,78 SQM
 Own Your Dream 203m² Apartment in B3 with a Direct Club View & Ultra Super Lux Finishing ,https://www.dubizzle.com.eg/en/ad/own-your-dream-203m2-apartment-in-b3-with-a-direct-club-view-ultra-super-lux-finishing-ID502621544.html,"EGP 13,700,000","Madinaty, Cairo•",3,3,204 SQM
Ready-to-Move Lake View Apartment for Sale | Palm Hills New Cairo,https://www.dubizzle.com.eg/en/ad/ready-to-move-lake-view-apartment-for-sale-palm-hills-new-cairo-ID502643609.html,"EGP 7,051,824","Palm Hills New Cairo Compound, 5th Settlement•",2,3,151 SQM
Lake View 2 – Apartment with Garden for Sale,https://www.dubizzle.com.eg/en/ad/lake-view-2-apartment-with-garden-for-sale-ID502644128.html,"EGP 10,505,700","Lake View Residence 2, 5th Settlement•",2,2,145 SQM
"Own an apartment for sale in the heart of the capital, immediate delivery at cash price with full finishing | Or pay a 5% down payment with installmen",https://www.dubizzle.com.eg/en/ad/own-an-apartment-for-sale-in-the-heart-of-the-capital-immediate-delivery-at-cash-price-with-full-finishing-or-pay-a-5-down-payment-with-installmen-ID502647558.html,"EGP 4,900,000","New Garden City, New Capital City•",2,2,150 SQM
"50% Discount – 3-Bedroom Apartment for Sale in Sarai, next to Madinaty  and just minutes from New Cairo.",https://www.dubizzle.com.eg/en/ad/50-discount-3-bedroom-apartment-for-sale-in-sarai-next-to-madinaty-and-just-minutes-from-new-cairo-ID502579959.html,"EGP 4,985,000","Sarai, Mostakbal City•",3,3,147 SQM
eady-to-Move 400 sqm Duplex in El Andalous – Fully Settled with Meters Installed – Exceptional Location Near Mohamed Naguib Axis,https://www.dubizzle.com.eg/en/ad/eady-to-move-400-sqm-duplex-in-el-andalous-fully-settled-with-meters-installed-exceptional-location-near-mohamed-naguib-axis-ID501820144.html,"EGP 5,400,000","Al Andalous, 5th Settlement•",4,3,400 SQM
شقة للبيع 140م تقسيط على 18 شهر بالحى الثالث بالهضبة الوسطى المقطم,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-140%D9%85-%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%B9%D9%84%D9%89-18-%D8%B4%D9%87%D8%B1-%D8%A8%D8%A7%D9%84%D8%AD%D9%89-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB-%D8%A8%D8%A7%D9%84%D9%87%D8%B6%D8%A8%D8%A9-%D8%A7%D9%84%D9%88%D8%B3%D8%B7%D9%89-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D9%85-ID502175251.html,"EGP 2,520,000","Al Hadaba Al Wosta, Mokattam•",3,2,140 SQM
"apartment fully finished and the Fifth Settlement For sale with the furniture, appliances, air conditioning, and kitchen The apartment is newly used",https://www.dubizzle.com.eg/en/ad/apartment-fully-finished-and-the-fifth-settlement-for-sale-with-the-furniture-appliances-air-conditioning-and-kitchen-the-apartment-is-newly-used-ID502616617.html,"EGP 6,000,000","5th Settlement, New Cairo•",3,2,200 SQM
Fully Finished Apartment overlooking central park,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-overlooking-central-park-ID502600184.html,"EGP 31,000,000","Mivida Compound, 5th Settlement•",3,3,244 SQM
Luxury Apartment for Sale in Madinaty Privado – 178 sqm with Direct Lake View Private Garage,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-madinaty-privado-178-sqm-with-direct-lake-view-private-garage-ID502639213.html,"EGP 13,600,000","Privado, Madinaty•",3,3,178 SQM
شقة بزهراء المعادي الرئيسي متشطبة ومفروشه فرش جديد كامل بالتكيفات,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%A8%D8%B2%D9%87%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%AF%D9%8A-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8%D8%A9-%D9%88%D9%85%D9%81%D8%B1%D9%88%D8%B4%D9%87-%D9%81%D8%B1%D8%B4-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%83%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%AA%D9%83%D9%8A%D9%81%D8%A7%D8%AA-ID205243975.html,"EGP 3,900,000","Zahraa Al Maadi, Cairo•",2,2,105 SQM
apartment for sale in madinaty 107m with 40m garden in B10 super-lux finished,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-madinaty-107m-with-40m-garden-in-b10-super-lux-finished-ID502643321.html,"EGP 6,750,000","Madinaty, Cairo•",3,2,107 SQM
Apartment for sale directly from the owner in New Al Obour 175 square meters,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-directly-from-the-owner-in-new-al-obour-175-square-meters-ID502555486.html,"EGP 2,700,000","New Obour City, Obour City•",3,3,175 SQM
شقة ١٥٥ متر للبيع بكمباوند بارادايس التجمع الخامس,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%A1%D9%A5%D9%A5-%D9%85%D8%AA%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%83%D9%85%D8%A8%D8%A7%D9%88%D9%86%D8%AF-%D8%A8%D8%A7%D8%B1%D8%A7%D8%AF%D8%A7%D9%8A%D8%B3-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-ID206018224.html,"EGP 5,960,000","Paradise, 5th Settlement•",3,2,155 SQM
"Own now a residential studio with a private entrance in Al Yasmine 3, First Settlement, near the Northern 90th Street, New Cairo",https://www.dubizzle.com.eg/en/ad/own-now-a-residential-studio-with-a-private-entrance-in-al-yasmine-3-first-settlement-near-the-northern-90th-street-new-cairo-ID502640291.html,"EGP 4,000,000","El Yasmeen 3, 1st Settlement•",2,3,160 SQM
200m² Apartment for Sale – Fully finished – Direct Front view Immediate Delivery – Al Banafseg Buildings – New Cairo (Fifth Settlement),https://www.dubizzle.com.eg/en/ad/200m2-apartment-for-sale-fully-finished-direct-front-view-immediate-delivery-al-banafseg-buildings-new-cairo-fifth-settlement-ID502622040.html,"EGP 6,250,000","Banafsag Omarat, 5th Settlement•",3,2,200 SQM
"3-Bedroom Apartment – Ready to Move – in the Heart of New Cairo, The Address East Compound",https://www.dubizzle.com.eg/en/ad/3-bedroom-apartment-ready-to-move-in-the-heart-of-new-cairo-the-address-east-compound-ID502613428.html,"EGP 6,300,000","The Address East Compound, 5th Settlement•",3,2,140 SQM
Apartment for sale fully finished with Acs Ready to move in Fifth Square,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-with-acs-ready-to-move-in-fifth-square-ID502647521.html,"EGP 7,800,000","Fifth Square Compound, 5th Settlement•",3,3,160 SQM
"Lake View Apartment for Sale in Palm Hills New Cairo – 2 Bedrooms, 151m², Ready to Move",https://www.dubizzle.com.eg/en/ad/lake-view-apartment-for-sale-in-palm-hills-new-cairo-2-bedrooms-151m2-ready-to-move-ID502552703.html,"EGP 7,051,824","Palm Hills New Cairo Compound, 5th Settlement•",2,2,151 SQM
